# Yale Bright Star Catalogue (BSC5), Hoffleit & Warren 1991, ADC/CDS V/50.
# Trimmed for the Simathon 02 demo. Source: tdc-www.harvard.edu/catalogs/bsc5.dat.gz
# ra_deg,dec_deg,vmag,b_v,dist_pc   (dist_pc = 0 means no usable parallax)
99.58542,-2.54361,6.140,1.480,0.0
99.70625,4.70056,6.570,-0.070,0.0
99.65875,1.61361,6.210,0.150,0.0
99.47250,-18.23750,4.430,1.150,76.9
99.25792,-38.14667,6.040,1.030,0.0
99.21375,-41.55694,6.340,1.150,0.0
99.30750,-36.99056,5.710,-0.120,0.0
99.44833,-32.33972,5.270,1.180,58.8
99.64750,-16.87361,6.030,0.030,0.0
99.94833,12.98306,5.970,0.060,0.0
99.81958,-14.14583,4.820,1.500,0.0
99.44042,-43.19611,3.170,-0.110,0.0
100.40708,35.93194,6.460,0.490,0.0
100.33750,28.19639,6.420,1.090,0.0
100.13250,6.37167,6.510,-0.140,0.0
99.90125,-23.69556,6.050,-0.030,0.0
100.24458,9.89556,4.660,-0.250,0.0
100.34083,16.39750,6.280,-0.010,0.0
100.32167,11.00333,6.110,1.680,0.0
100.77083,44.52444,5.020,1.480,52.6
99.92792,-30.47028,5.710,1.140,52.6
100.27250,0.49528,5.790,-0.100,0.0
99.65667,-48.22028,4.930,0.870,83.3
101.04833,53.29639,6.270,1.080,0.0
100.80750,37.14694,6.190,1.030,0.0
99.98708,-38.15889,6.580,1.180,0.0
100.60125,17.64528,5.210,0.060,0.0
100.49708,6.34500,6.370,-0.050,0.0
99.50250,-61.53306,6.180,0.620,0.0
100.48500,-9.16722,5.190,1.530,32.3
101.55875,59.44167,4.870,0.080,90.9
101.05250,36.10972,6.310,0.060,0.0
100.98292,25.13111,2.980,1.400,58.8
100.77708,3.03333,6.190,1.370,0.0
100.30875,-40.34972,6.120,-0.140,0.0
100.20542,-47.67472,6.650,1.580,0.0
101.70625,57.16917,5.350,0.960,0.0
100.99708,13.22778,4.490,1.160,142.9
100.91125,3.93222,5.900,-0.020,0.0
101.18958,28.97083,5.440,1.450,0.0
100.69083,-22.44917,6.130,0.340,0.0
100.56833,-38.39861,6.290,0.340,333.3
101.68458,43.57750,5.250,0.560,14.7
101.32250,12.89556,3.360,0.430,18.2
102.05375,55.70444,6.330,0.000,31.2
102.05125,55.70444,6.280,0.470,31.2
101.91500,48.78944,5.220,1.120,0.0
100.84708,-39.19333,6.300,0.260,0.0
101.47583,12.69361,6.460,0.000,0.0
102.73792,67.57194,5.140,-0.170,100.0
101.28708,-16.71611,-1.460,0.000,2.7
101.11833,-31.07056,5.200,-0.120,0.0
101.21625,-27.34139,6.450,0.540,16.1
101.63500,8.58722,5.930,-0.170,0.0
101.34708,-23.46194,6.050,1.200,0.0
101.26000,-30.58611,6.540,-0.110,0.0
101.49708,-14.79611,5.320,0.070,41.7
101.84792,18.19333,6.200,0.070,62.5
101.34500,-31.79361,5.920,0.480,19.6
101.38042,-30.94889,5.800,-0.190,200.0
101.66250,-10.10722,5.660,-0.050,0.0
101.83250,8.03722,4.770,1.400,76.9
101.71292,-14.42583,5.290,-0.040,0.0
100.24083,-71.77556,6.510,1.110,0.0
101.96500,2.41222,4.470,1.110,58.8
101.51375,-39.54000,6.620,-0.130,0.0
101.90458,-8.99833,5.070,1.800,500.0
101.75625,-21.01556,6.080,-0.190,0.0
101.55042,-37.77556,6.210,-0.130,0.0
103.42583,68.88833,5.120,-0.130,500.0
102.42208,32.60667,5.710,1.290,0.0
101.35875,-52.20111,6.570,1.080,0.0
102.07917,-1.31917,5.750,0.280,0.0
101.47375,-52.41000,5.800,1.530,0.0
102.69125,41.78139,5.020,1.270,0.0
102.26542,1.00194,6.150,-0.130,0.0
101.83917,-37.92972,5.260,-0.080,0.0
102.45750,16.20278,5.850,-0.130,0.0
103.27125,59.44861,5.330,0.650,200.0
102.31833,-2.27194,5.740,-0.100,0.0
102.24083,-15.14472,5.390,-0.100,250.0
101.72000,-51.26583,5.400,1.340,55.6
101.67292,-54.69472,6.460,0.860,250.0
102.60625,13.41333,5.650,1.340,0.0
101.82792,-55.54000,5.610,1.520,0.0
105.01667,76.97750,4.550,1.360,43.5
102.43333,-24.07583,6.330,0.040,500.0
102.88750,21.76111,5.270,-0.020,100.0
102.70792,-0.54083,5.770,0.390,27.8
100.90333,-73.11806,6.370,0.960,0.0
103.28167,44.83944,6.260,0.210,0.0
103.00000,23.60167,5.650,1.450,0.0
102.67625,-8.04111,6.290,0.000,0.0
102.59125,-17.08389,5.790,1.440,0.0
101.23375,-70.43389,6.110,1.330,0.0
102.52500,-27.33389,7.040,-0.180,0.0
102.46042,-32.50861,3.960,-0.230,0.0
103.25625,38.86917,6.120,0.370,0.0
103.19708,33.96111,3.600,0.100,47.6
103.30583,38.43806,6.300,0.490,200.0
103.26417,35.78861,6.010,1.450,0.0
102.91375,3.04167,6.380,0.040,0.0
102.65375,-25.77806,6.330,-0.180,0.0
102.59708,-31.70611,5.700,0.140,0.0
102.49083,-45.45000,6.550,1.510,0.0
103.48750,38.50500,6.480,-0.050,0.0
102.47750,-46.61472,5.140,0.450,20.4
102.71833,-34.36722,4.990,1.380,0.0
102.04750,-61.94139,3.270,0.210,19.2
103.20583,8.38028,5.770,0.260,0.0
103.09542,-5.31611,6.300,0.990,0.0
102.48417,-50.61472,2.930,1.200,0.0
102.46375,-53.62222,4.400,0.920,40.0
103.34375,10.99639,6.240,0.970,0.0
103.81333,45.82639,6.340,0.940,0.0
103.81125,43.91000,6.130,0.320,0.0
102.92625,-36.23028,5.960,0.180,0.0
100.01125,-80.81361,5.640,0.200,0.0
104.31875,58.42250,4.350,0.850,71.4
104.30500,57.56333,6.050,1.490,0.0
102.50458,-60.24917,6.110,0.460,0.0
102.88667,-48.29250,6.420,1.210,0.0
103.66125,13.17778,4.650,0.300,23.3
103.32833,-19.03278,5.640,0.280,0.0
103.34042,-18.93333,6.140,0.150,0.0
103.25042,-26.95750,6.400,1.530,0.0
104.13458,46.27417,5.870,-0.060,0.0
103.82750,25.37556,5.730,0.570,18.2
103.53542,-5.85250,6.410,0.170,333.3
103.38708,-20.22417,4.830,-0.210,0.0
103.60250,-1.12694,5.450,0.180,111.1
104.23333,46.70500,5.860,1.080,0.0
103.54750,-12.03861,4.070,1.430,45.5
103.16542,-42.50444,6.520,0.420,0.0
103.39125,-28.53972,6.040,0.710,23.8
103.67542,-1.75639,6.210,0.560,0.0
103.48042,-24.53917,6.210,0.010,0.0
103.19625,-43.97583,6.460,-0.100,0.0
103.53292,-24.18389,3.870,1.730,500.0
105.33958,70.80806,5.680,1.330,0.0
103.74500,-2.80361,6.040,1.100,0.0
103.55417,-23.92833,6.910,-0.280,0.0
103.89417,8.32472,6.290,0.040,0.0
104.40458,45.09417,4.900,0.030,166.7
104.25208,33.68111,5.890,0.880,0.0
103.19542,-54.09000,6.570,1.080,0.0
103.76125,-20.40472,5.740,0.080,0.0
104.10750,9.95639,5.920,-0.080,0.0
103.90583,-20.13639,4.680,0.370,29.4
103.61125,-42.36556,6.320,2.240,0.0
103.18917,-59.34111,6.410,0.180,0.0
104.02750,-14.04361,5.000,1.180,0.0
103.50958,-50.61167,6.260,0.990,0.0
103.94500,-22.94139,5.300,-0.180,0.0
104.03417,-17.05417,4.370,-0.070,200.0
104.35708,11.90750,6.270,0.340,0.0
103.97833,-31.79000,6.360,0.000,0.0
104.25042,-8.17889,6.340,0.640,0.0
104.76167,38.05222,6.000,1.230,0.0
104.69750,26.08111,6.100,0.460,40.0
102.86250,-70.96333,5.400,-0.110,0.0
104.31167,-22.20333,6.610,-0.190,0.0
104.19042,-35.34167,6.290,1.290,0.0
104.86625,25.91417,6.400,-0.110,0.0
104.66250,7.62194,6.270,0.110,0.0
104.39125,-24.63056,5.460,0.360,62.5
104.06667,-48.72111,4.950,1.690,0.0
115.12708,87.02000,5.070,1.630,333.3
104.73750,3.60222,5.970,1.060,0.0
104.42667,-27.53750,6.230,-0.140,0.0
104.32333,-35.50750,6.230,0.460,14.5
104.83375,7.31694,6.350,-0.110,0.0
104.53167,-27.16472,6.370,-0.190,0.0
105.06583,16.07889,5.680,1.660,0.0
104.64958,-25.41389,5.590,-0.160,0.0
106.46583,70.73194,6.500,0.000,0.0
104.65625,-28.97222,1.500,-0.210,0.0
104.60458,-34.11167,5.060,-0.160,0.0
105.32167,32.41444,6.590,0.270,0.0
104.68250,-30.99778,6.420,-0.140,0.0
105.07500,-5.36694,6.300,0.570,0.0
104.91375,-21.60333,6.260,-0.150,0.0
105.09875,-8.40694,5.960,-0.080,0.0
105.03375,-20.15889,6.310,-0.150,0.0
104.67417,-45.76806,6.220,0.000,0.0
105.16375,-9.20306,6.490,0.210,0.0
105.08042,-22.11944,6.530,-0.170,0.0
105.42250,4.81806,6.630,0.060,0.0
105.60333,24.21528,5.180,0.940,83.3
105.60625,17.75556,5.940,1.630,0.0
105.57250,15.33611,5.740,0.000,0.0
105.47917,5.55750,6.590,-0.020,0.0
104.66500,-55.72944,6.270,1.160,0.0
105.63958,16.67417,5.820,1.680,0.0
105.47042,-1.34556,6.170,1.280,0.0
105.17750,-28.48944,6.270,0.450,0.0
104.65083,-56.39472,6.450,0.390,0.0
105.48500,-5.72222,5.200,1.680,0.0
105.27458,-25.21528,5.630,-0.170,0.0
105.20750,-33.46528,6.400,1.050,0.0
106.50542,59.80194,6.440,0.000,0.0
105.87667,29.33722,5.930,0.600,16.9
106.41583,52.75806,6.120,0.110,90.9
106.28750,47.77500,6.380,-0.040,0.0
105.42958,-27.93472,3.470,1.730,41.7
105.82458,9.13833,5.970,0.120,0.0
105.72833,-4.23917,4.990,-0.200,0.0
105.90833,10.95167,5.130,1.390,90.9
106.02708,20.57028,3.790,0.790,0.0
105.96500,12.59444,5.980,1.580,0.0
105.21458,-51.40250,5.140,1.610,0.0
105.75625,-23.83333,3.020,-0.080,0.0
106.08417,1.48833,6.570,0.010,0.0
106.02167,-5.32361,5.620,1.290,0.0
105.98875,-10.12417,6.450,-0.080,0.0
105.93958,-15.63333,4.120,-0.120,0.0
105.56500,-43.40417,6.430,-0.040,0.0
106.32667,22.63722,6.020,-0.030,0.0
106.54833,34.47389,5.550,0.910,27.8
105.27125,-58.94000,6.020,0.300,0.0
104.96042,-67.91611,5.170,1.400,27.0
106.41292,9.18583,5.780,1.520,0.0
106.19625,-22.03222,6.090,1.220,0.0
106.84292,34.00944,5.910,1.510,0.0
106.01167,-42.33722,5.200,0.200,40.0
105.98875,-43.60806,5.540,0.640,19.2
105.99500,-43.61167,6.790,0.800,19.2
106.85417,28.17722,6.480,-0.090,0.0
106.45708,-10.66111,6.490,-0.050,0.0
106.83917,22.70361,7.680,2.210,0.0
105.97375,-49.58389,4.930,0.130,50.0
107.05542,33.83222,6.280,1.340,0.0
105.81500,-59.17806,5.500,-0.110,71.4
107.15125,37.44500,6.160,1.210,0.0
106.77667,4.91028,6.110,-0.130,0.0
106.38333,-34.77778,6.140,0.370,29.4
106.66958,-11.29417,5.390,0.050,0.0
106.64958,-12.39389,6.480,-0.100,0.0
106.50250,-30.65556,6.340,-0.160,0.0
108.49208,71.81667,6.350,1.120,0.0
106.95625,7.47111,5.750,1.180,0.0
106.07625,-56.74972,5.170,-0.040,0.0
107.09167,15.93083,5.440,1.030,142.9
106.50958,-38.38278,6.110,0.700,0.0
106.71792,-24.96056,6.080,1.340,0.0
106.31875,-50.36028,6.460,0.000,0.0
106.75042,-26.65778,6.620,-0.170,0.0
104.14333,-79.42028,5.450,0.050,0.0
106.84417,-23.84028,5.710,-0.100,0.0
106.77958,-40.89333,5.790,-0.170,0.0
107.52792,21.24694,6.430,0.890,34.5
107.09792,-26.39333,1.840,0.680,0.0
107.33458,-10.34722,6.210,0.030,0.0
107.20542,-24.04417,6.650,-0.190,0.0
107.91375,39.32056,4.900,1.450,43.5
107.78500,30.24528,4.410,1.260,142.9
106.80542,-51.96778,5.960,1.000,0.0
107.38833,-16.23472,6.030,0.060,0.0
107.84625,26.85667,5.780,0.100,0.0
107.55708,-4.23722,4.920,1.030,33.3
107.21292,-39.65583,4.830,-0.180,0.0
108.34750,51.42889,5.470,1.670,333.3
107.42875,-25.23111,5.690,-0.160,0.0
107.53875,-18.68528,6.230,0.400,0.0
108.11000,24.12833,5.850,0.360,0.0
107.84833,-0.30194,5.450,0.290,47.6
107.58083,-27.49139,5.460,1.000,0.0
111.34125,81.25750,6.310,-0.040,0.0
107.96375,5.65472,6.090,-0.020,0.0
108.20417,27.22472,6.430,0.490,37.0
106.55875,-68.83722,6.470,1.040,0.0
108.03083,5.47472,6.160,1.140,0.0
107.96625,-0.49278,4.150,-0.010,62.5
108.97875,59.63750,5.200,1.070,23.8
107.92333,-20.88306,5.840,-0.040,0.0
108.34292,16.15889,5.000,1.660,90.9
108.05083,-25.94250,5.920,-0.170,0.0
107.69792,-48.93222,5.140,1.240,32.3
108.01708,-30.82167,6.100,0.270,0.0
108.95875,47.24000,5.580,0.580,27.0
108.61083,24.71083,6.890,-0.030,0.0
108.28000,-11.25139,5.780,1.510,0.0
108.10042,-27.47417,6.590,0.190,0.0
108.67458,24.88500,5.820,1.560,0.0
108.10708,-36.54444,5.960,-0.140,250.0
108.06583,-40.49889,5.310,0.060,111.1
108.63583,12.11583,5.620,1.010,0.0
108.58333,3.11139,5.350,1.190,0.0
108.34958,-22.67333,6.010,1.480,0.0
108.54583,-3.90139,5.750,1.580,0.0
108.56458,-9.94750,5.900,1.520,0.0
108.45125,-22.90639,6.360,-0.210,0.0
108.40125,-27.35639,6.120,-0.230,0.0
107.17583,-70.49722,5.690,0.400,62.5
107.18708,-70.49889,3.780,1.040,62.5
109.39042,52.13083,5.920,1.260,0.0
108.98792,27.89750,5.710,1.630,125.0
108.61750,-10.31667,6.030,-0.180,0.0
108.14000,-46.75944,4.490,0.320,20.8
108.44625,-31.08389,6.600,-0.170,0.0
112.76833,82.41139,4.960,1.660,0.0
108.48833,-30.34000,6.330,-0.200,0.0
108.83042,-0.16139,6.410,0.900,90.9
108.56333,-26.35250,4.660,-0.190,0.0
108.30583,-45.18306,4.890,-0.020,100.0
108.91417,7.97778,5.820,1.600,0.0
108.38500,-44.63972,5.100,1.560,45.5
108.70292,-26.77278,3.850,-0.170,0.0
108.71292,-27.03806,5.580,1.220,0.0
109.63292,49.46500,5.050,0.080,125.0
108.92958,-10.58389,5.950,1.180,0.0
109.50917,40.88333,5.780,0.170,0.0
108.00833,-63.19000,6.020,-0.020,200.0
108.94792,-23.74056,6.320,0.000,0.0
108.83750,-30.68639,5.360,-0.170,0.0
109.51708,30.95583,6.240,-0.030,0.0
109.06042,-15.58583,5.460,0.080,24.4
108.73792,-41.42583,5.940,-0.160,0.0
109.32417,6.68056,6.650,-0.110,0.0
108.69125,-46.84972,5.720,-0.110,0.0
108.65917,-48.27167,4.760,-0.100,0.0
109.52333,16.54028,3.580,0.110,21.3
109.15333,-23.31556,4.790,1.710,52.6
109.38208,-6.68000,6.290,1.620,0.0
109.14583,-27.88111,4.640,1.600,83.3
108.83750,-52.49972,5.970,1.100,0.0
109.23833,-30.89667,6.320,0.200,0.0
109.13250,-38.31889,5.800,-0.130,0.0
109.20625,-36.59278,5.030,-0.170,0.0
109.06458,-46.77444,5.660,1.440,0.0
110.57167,59.90194,6.350,0.000,66.7
109.28583,-37.09750,2.700,1.620,31.2
109.44958,-26.79750,6.460,-0.150,0.0
110.26292,42.65556,6.350,1.460,0.0
110.32292,45.22806,5.770,0.320,0.0
110.03083,21.98222,3.530,0.340,16.4
109.84333,2.74056,5.890,1.070,0.0
109.94833,7.14278,5.910,0.530,0.0
110.02875,15.14278,6.450,-0.020,0.0
109.66792,-24.55889,4.980,-0.150,0.0
109.67667,-24.95417,4.400,-0.150,0.0
110.71208,55.28444,6.530,0.000,90.9
110.71708,55.28139,5.450,0.000,90.9
109.75833,-19.28028,6.090,0.620,0.0
109.71333,-26.58583,5.280,0.960,58.8
109.57667,-36.73417,4.660,-0.100,0.0
109.86708,-16.39500,5.700,0.350,25.0
109.51750,-43.98667,5.850,-0.120,0.0
109.65917,-36.74278,5.110,-0.160,0.0
109.64000,-39.21028,5.250,0.010,71.4
110.55583,38.99611,6.400,1.220,0.0
110.51083,36.76056,5.130,1.080,45.5
109.80708,-33.72722,6.300,1.310,0.0
110.48667,20.44361,5.100,1.520,500.0
110.24250,-14.36000,5.450,0.980,0.0
113.66542,80.89667,6.410,0.000,0.0
110.32042,-8.87833,6.550,0.540,0.0
110.22167,-22.85167,6.610,-0.150,0.0
110.22917,-26.96361,6.010,-0.170,0.0
110.51458,0.17722,5.990,-0.070,0.0
110.26792,-25.89139,5.870,1.640,0.0
109.20750,-67.95722,3.980,0.790,250.0
111.23833,51.88722,5.800,1.610,0.0
111.03542,40.67222,5.190,1.230,142.9
110.50833,-8.97917,6.430,-0.190,0.0
110.57708,-2.97889,6.230,0.680,0.0
110.86875,25.05056,5.030,0.900,45.5
111.85750,66.33167,6.470,-0.090,0.0
110.86750,22.94528,6.020,-0.010,0.0
110.60583,-5.98278,5.820,0.350,0.0
110.55625,-19.01667,4.960,-0.040,0.0
110.08917,-52.31167,6.050,0.420,26.3
110.09042,-52.30972,6.600,0.590,26.3
110.16125,-52.08611,5.390,-0.070,0.0
111.13917,27.63806,5.760,0.340,0.0
111.11542,15.51722,6.410,-0.180,0.0
111.67833,49.21139,4.640,-0.020,83.3
110.75250,-31.92389,5.430,-0.150,0.0
111.24250,11.66972,5.300,0.100,66.7
111.43167,27.79806,3.790,1.030,31.2
110.87125,-27.83417,5.380,1.530,76.9
110.88292,-32.20222,5.390,-0.180,0.0
110.97625,-30.21694,6.600,-0.200,0.0
111.16708,-16.20111,5.330,-0.050,0.0
111.07167,-22.91278,6.190,-0.090,0.0
111.02375,-29.30306,2.450,-0.080,0.0
111.41208,9.27611,4.990,1.010,125.0
110.99292,-35.83778,6.310,-0.150,0.0
112.71958,68.46556,5.640,1.110,90.9
111.21125,-19.01222,6.240,0.290,0.0
111.28458,-13.75194,5.780,0.420,27.0
111.46250,-5.77500,5.970,0.920,0.0
111.18250,-31.80889,5.350,1.070,0.0
111.70917,21.53583,6.540,0.460,26.3
111.61625,10.60833,6.370,0.090,0.0
111.73458,20.25722,5.930,0.300,0.0
111.51458,-4.53750,6.760,-0.010,0.0
111.33292,-21.98278,6.050,0.230,0.0
111.67208,11.00917,6.410,-0.130,0.0
111.35542,-25.21778,5.780,-0.100,0.0
111.19667,-37.29000,6.970,0.220,333.3
111.19708,-37.29083,6.840,0.270,333.3
112.21500,48.18389,5.720,-0.100,0.0
111.78750,8.28944,2.900,-0.090,52.6
111.93500,21.44500,5.220,0.390,24.4
111.42917,-31.73861,6.310,-0.170,0.0
101.74458,-87.02500,6.470,0.420,0.0
112.48333,49.67250,5.360,0.450,23.8
111.66958,-23.71222,6.560,0.010,0.0
112.00875,6.94194,5.250,0.220,100.0
112.27792,31.78444,4.180,0.320,16.1
111.78333,-17.86444,5.630,0.320,0.0
112.04083,8.92556,4.320,1.430,52.6
111.74750,-23.08611,5.610,-0.130,0.0
111.67625,-34.14083,5.900,-0.170,0.0
112.33500,28.11806,5.050,0.110,125.0
112.19708,15.10944,6.220,-0.050,0.0
111.96542,-11.55694,5.790,0.580,0.0
111.92875,-22.85972,5.950,-0.090,0.0
112.45292,27.91611,5.010,1.110,55.6
111.59125,-51.01833,5.100,1.060,142.9
111.99667,-29.15583,5.540,-0.080,0.0
112.44917,12.00667,4.540,1.280,34.5
112.32792,-1.90528,5.590,1.500,0.0
112.35708,-7.55111,5.860,0.480,0.0
112.34208,-10.32667,5.750,1.620,0.0
112.34125,-14.99917,6.050,0.470,37.0
112.09500,-37.81028,6.580,0.060,0.0
112.21375,-31.84833,6.380,-0.170,0.0
112.21458,-31.84694,7.130,-0.150,0.0
112.98208,38.89639,6.540,0.070,0.0
112.27042,-31.45639,5.770,-0.190,0.0
112.46417,-23.02444,4.850,0.230,0.0
112.27375,-38.81222,5.430,-0.160,0.0
112.71292,-5.22639,6.240,1.180,0.0
112.95167,17.08611,5.420,1.130,0.0
112.30750,-43.30139,3.250,1.510,50.0
113.21083,22.88778,6.540,1.010,0.0
113.02458,1.91444,5.250,0.220,62.5
112.67708,-30.96222,4.650,0.930,43.5
112.67667,-37.33972,6.650,0.630,0.0
113.02417,-8.88083,5.900,0.540,0.0
112.49833,-52.65111,5.870,1.010,0.0
112.85750,-36.15278,6.680,-0.120,0.0
113.40208,15.82667,5.250,0.050,90.9
113.29833,3.29028,5.590,0.310,0.0
112.21375,-64.51000,6.390,1.560,0.0
112.92833,-35.88778,6.610,-0.080,0.0
113.65000,31.88861,2.880,0.040,14.9
113.65000,31.88833,1.980,0.030,14.9
112.62875,-54.39944,5.960,1.560,0.0
113.52125,10.56833,6.280,-0.010,0.0
114.19583,55.75528,5.920,1.120,0.0
113.09292,-35.96139,6.300,-0.100,0.0
113.78625,30.96111,5.330,1.010,333.3
113.34208,-14.33833,6.210,-0.040,0.0
113.98333,43.03111,6.300,0.000,200.0
113.33125,-19.41250,5.660,1.120,0.0
113.29042,-24.71083,5.850,0.170,0.0
113.56583,3.37139,5.810,-0.020,0.0
113.44958,-14.52389,4.970,1.410,0.0
114.13167,46.18028,5.650,1.560,0.0
113.69167,2.72500,6.550,0.220,0.0
113.98042,26.89583,4.060,1.540,71.4
113.51333,-22.29611,4.450,0.510,18.5
113.30625,-40.05889,6.260,-0.120,0.0
113.30542,-43.08639,6.520,0.920,0.0
113.57750,-23.47361,5.830,0.440,43.5
113.57958,-23.47472,5.870,0.000,43.5
113.46250,-36.33833,5.540,-0.060,0.0
113.62000,-26.11667,6.650,-0.010,0.0
113.55333,-33.46333,6.110,0.290,0.0
114.47458,48.77361,5.920,0.220,0.0
114.32417,40.02528,6.380,0.000,0.0
113.64542,-27.01194,5.770,1.060,0.0
113.49375,-39.90583,6.760,1.130,0.0
114.14458,5.86167,5.910,0.600,0.0
111.40833,-79.09417,5.530,1.280,0.0
114.06917,-8.31139,6.270,1.540,0.0
114.01625,-14.49278,5.700,-0.120,0.0
113.84500,-28.36944,4.640,-0.110,0.0
114.03250,-22.16056,6.340,0.990,0.0
114.63667,35.04861,5.560,0.930,0.0
113.66458,-51.47472,6.280,0.080,0.0
114.56042,24.36028,6.270,0.000,0.0
114.31958,-4.11111,5.130,0.440,35.7
114.17083,-19.70222,5.740,-0.190,0.0
115.20625,57.08278,6.060,1.460,0.0
114.79125,34.58417,4.900,0.400,47.6
114.79958,24.22250,6.170,0.010,0.0
114.41208,-14.44111,6.530,-0.010,0.0
114.32000,-23.77500,6.370,0.540,0.0
113.91542,-52.53389,4.940,1.400,83.3
115.06083,38.34444,5.730,1.630,0.0
114.97542,32.00972,6.170,0.350,0.0
114.34208,-34.96861,4.530,-0.090,0.0
114.86917,17.67472,5.050,1.560,111.1
115.30167,48.13167,5.560,1.010,111.1
114.18292,-48.83028,5.720,-0.060,0.0
114.00708,-55.88750,6.390,1.180,0.0
114.43667,-35.27722,6.600,1.140,0.0
114.82542,5.22500,0.380,0.420,3.5
114.57500,-25.36472,4.700,-0.110,0.0
114.43833,-38.01056,6.380,1.480,0.0
115.75167,58.71028,4.990,0.080,55.6
114.77958,-18.67917,6.720,-0.100,0.0
114.70542,-26.80167,4.500,-0.170,100.0
114.70750,-26.80361,4.620,0.000,100.0
115.02917,5.23083,6.020,-0.040,71.4
115.24375,23.01861,5.890,1.580,0.0
114.60083,-39.99139,6.590,-0.050,0.0
115.19708,13.77083,6.240,0.000,0.0
114.68292,-36.49694,5.800,-0.160,0.0
114.63583,-38.78111,6.190,1.020,0.0
114.86208,-26.86306,6.500,-0.100,0.0
114.57583,-48.60111,5.680,0.650,0.0
115.14792,-8.18583,6.010,0.150,0.0
115.09667,-15.26361,4.940,1.560,200.0
115.05667,-19.66083,5.930,1.160,0.0
114.86417,-38.30833,4.840,-0.190,0.0
115.68125,34.00028,6.020,0.000,0.0
114.93250,-38.13944,5.730,-0.120,166.7
114.94917,-38.26083,5.760,-0.070,0.0
115.46583,13.48056,5.770,1.670,0.0
115.39667,3.62472,5.940,-0.040,0.0
115.51333,14.20833,5.560,1.640,166.7
114.99167,-37.57944,6.000,-0.040,0.0
116.01750,50.43389,5.270,0.000,66.7
115.31167,-9.55111,3.930,1.020,41.7
114.75167,-53.27333,6.060,-0.110,0.0
115.18083,-27.94583,6.760,-0.160,0.0
115.82792,28.88361,4.280,1.120,55.6
115.21958,-31.66083,6.560,1.180,0.0
116.66708,65.45583,5.920,1.180,0.0
115.34833,-22.33722,6.180,1.620,0.0
116.61417,62.83056,6.490,0.260,0.0
115.84250,22.39944,6.210,0.930,0.0
113.84042,-74.27556,7.160,-0.020,100.0
113.84083,-74.27556,7.260,0.000,100.0
115.31583,-38.53361,5.420,-0.150,0.0
115.77250,0.18944,6.190,1.020,0.0
116.02875,25.78417,5.310,1.540,142.9
115.34083,-44.63222,6.410,0.000,0.0
116.11167,24.39806,3.570,0.930,38.5
115.49167,-38.52889,6.540,-0.090,0.0
116.05833,12.85944,6.430,0.000,0.0
115.70042,-26.35111,5.640,0.990,0.0
116.03083,2.40500,6.470,0.200,0.0
116.32875,28.02611,1.140,1.000,10.6
116.28875,20.31639,6.330,0.000,0.0
115.91292,-25.50389,6.550,0.060,0.0
115.88500,-28.41111,4.590,1.630,55.6
115.80000,-36.05028,5.600,-0.130,0.0
115.77917,-38.86417,6.890,1.020,0.0
115.95208,-28.95472,3.960,0.180,0.0
119.07208,80.26556,6.560,0.730,0.0
115.73833,-45.17333,5.060,0.780,0.0
116.66375,37.51750,5.180,1.580,0.0
114.01750,-77.63417,6.180,1.730,0.0
115.92875,-38.20194,6.400,-0.160,0.0
115.92458,-40.93389,5.170,1.100,38.5
116.53083,18.51000,4.880,1.450,71.4
116.14167,-24.67389,5.620,-0.190,0.0
115.77875,-49.99278,6.570,0.070,0.0
115.54250,-58.63083,6.430,-0.100,0.0
116.04000,-36.06278,5.800,0.310,0.0
116.56750,10.76833,5.300,0.010,45.5
116.36958,-14.68611,6.890,0.000,0.0
116.37125,-14.69083,6.070,0.110,0.0
116.14250,-37.94306,5.880,-0.110,0.0
115.72208,-58.23000,6.210,1.050,0.0
116.87625,33.41556,5.140,1.600,83.3
116.50917,-6.77250,5.490,1.380,0.0
116.48708,-14.56389,5.040,0.330,32.3
116.26917,-37.88778,6.540,-0.100,0.0
116.31375,-37.96861,3.610,1.730,166.7
116.39583,-34.17306,5.370,0.600,15.6
116.68708,-12.67528,6.390,-0.020,0.0
116.32542,-43.75222,6.030,-0.070,0.0
117.14000,23.14111,6.180,0.000,0.0
116.54333,-37.93389,5.880,-0.110,0.0
116.80208,-22.51972,5.900,-0.190,0.0
115.45500,-72.60611,3.950,1.040,58.8
116.63917,-40.05972,6.570,-0.130,0.0
116.91042,-15.99083,6.340,1.780,0.0
116.93833,-16.01444,6.430,1.700,0.0
117.77375,54.12917,6.020,0.460,0.0
116.98625,-12.19306,5.480,0.480,76.9
117.25833,13.37083,6.040,1.380,0.0
116.39833,-56.72250,6.120,0.390,0.0
116.77417,-39.33139,6.310,-0.170,0.0
117.24542,4.33278,6.530,0.780,0.0
117.02167,-25.93722,4.500,-0.050,0.0
116.85417,-38.51111,5.080,-0.100,0.0
116.18292,-66.07194,6.380,0.950,0.0
116.88125,-46.60861,5.230,-0.140,0.0
116.05417,-69.82139,6.180,-0.060,0.0
118.15250,55.20944,6.380,0.000,0.0
117.75958,33.23361,6.030,0.150,0.0
117.03542,-40.65222,6.140,1.580,0.0
117.36917,-13.35333,6.230,-0.090,0.0
117.25708,-24.91222,5.330,0.760,27.8
117.42167,-17.22833,5.180,1.280,0.0
117.32375,-24.85972,3.340,1.240,333.3
