# Yale Bright Star Catalogue (BSC5), Hoffleit & Warren 1991, ADC/CDS V/50.
# Trimmed for the Simathon 02 demo. Source: tdc-www.harvard.edu/catalogs/bsc5.dat.gz
# ra_deg,dec_deg,vmag,b_v,dist_pc   (dist_pc = 0 means no usable parallax)
8.60375,66.75028,6.480,-0.080,0.0
8.42125,-29.55833,5.550,1.270,0.0
8.34708,-71.26611,6.130,0.230,0.0
8.61583,-52.37306,5.570,0.470,26.3
8.73042,13.37111,6.400,0.000,0.0
8.81208,-3.59278,5.200,0.560,16.7
8.88667,-0.50556,5.930,0.440,0.0
9.03458,54.16861,5.080,-0.110,0.0
8.97792,13.20667,6.410,0.520,50.0
9.11375,60.32611,5.790,0.290,0.0
8.92125,-48.00083,5.510,0.440,0.0
8.88917,-54.82194,6.060,1.010,0.0
9.08333,27.25472,6.500,-0.090,0.0
9.01250,-14.97361,6.450,1.060,0.0
9.02875,-22.84250,6.060,0.290,0.0
9.19417,44.48861,5.130,1.600,142.9
9.24292,53.89694,3.660,-0.200,250.0
9.22042,33.71944,4.360,-0.140,0.0
9.19708,15.23167,5.890,-0.150,0.0
9.28000,24.01417,6.470,0.000,0.0
9.33792,35.39944,5.480,0.880,0.0
9.94708,82.49389,6.400,0.550,35.7
9.33625,-24.76722,5.570,0.720,13.2
9.15583,-65.12472,6.420,1.260,0.0
9.37708,3.13528,6.390,1.330,0.0
9.32542,-54.39417,6.410,1.000,0.0
9.63875,29.31167,4.370,0.870,32.3
9.79125,49.35444,5.430,1.640,0.0
9.83208,30.86083,3.270,1.280,35.7
9.84083,21.25056,5.870,0.850,10.1
9.98167,21.43833,5.360,1.160,111.1
10.12708,56.53722,2.230,1.170,62.5
9.67000,-73.13722,6.850,0.110,0.0
9.99125,-33.96167,6.690,0.510,50.0
9.96667,-44.79667,6.010,1.140,0.0
10.11917,-16.51694,6.490,0.920,0.0
10.13708,-23.80444,6.140,0.700,23.3
10.17667,-4.35194,5.910,1.100,0.0
10.28000,39.45861,5.330,0.890,100.0
10.11000,-59.45444,5.890,0.550,17.2
10.51417,66.14750,5.830,1.040,0.0
10.40000,24.62917,6.040,0.260,0.0
10.51625,50.51250,4.800,-0.110,0.0
10.33167,-46.08500,4.590,0.970,250.0
10.62958,58.75333,6.170,-0.010,0.0
10.44333,-56.50167,5.700,0.200,0.0
10.86708,47.02472,4.940,0.180,43.5
10.67875,-38.46333,6.060,-0.030,0.0
10.67417,-60.26250,5.980,1.320,0.0
10.61833,-65.46806,5.390,0.500,26.3
10.89750,-17.98667,2.040,1.020,16.4
11.11000,47.86417,5.670,-0.120,0.0
10.95917,-12.01167,6.020,1.100,0.0
10.83833,-57.46306,4.360,0.000,21.7
11.41250,74.98806,5.660,0.050,0.0
11.18125,48.28444,4.540,-0.070,0.0
